chid,Date
UC6_aLZwre0yxXvhwNw,4/1/2017
UC6_aLZwre0yxXvhwNw,4/2/2017
UC6_aLZwre0yxXvhwNw,4/3/2017
UC6_aLZwre0yxXvhwNw,4/4/2017
UC6_aLZwre0yxXvhwNw,4/5/2017
UC6_aLZwre0yxXvhwNw,4/6/2017
UC6_aLZwre0yxXvhwNw,4/7/2017
UC6_aLZwre0yxXvhwNw,4/8/2017
UC6_aLZwre0yxXvhwNw,4/9/2017
UC6_aLZwre0yxXvhwNw,4/10/2017
UC6_aLZwre0yxXvhwNw,4/11/2017
UC6_aLZwre0yxXvhwNw,4/12/2017
UC6_aLZwre0yxXvhwNw,4/13/2017
UC6_aLZwre0yxXvhwNw,4/14/2017
UC6_aLZwre0yxXvhwNw,4/15/2017
UC6_aLZwre0yxXvhwNw,4/16/2017
UC6_aLZwre0yxXvhwNw,4/17/2017
UC6_aLZwre0yxXvhwNw,4/18/2017
UC6_aLZwre0yxXvhwNw,4/19/2017
UC6_aLZwre0yxXvhwNw,4/20/2017
UC6_aLZwre0yxXvhwNw,4/21/2017
UC6_aLZwre0yxXvhwNw,4/22/2017
UC6_aLZwre0yxXvhwNw,4/23/2017
UC6_aLZwre0yxXvhwNw,4/24/2017
UC6_aLZwre0yxXvhwNw,4/25/2017
UC6_aLZwre0yxXvhwNw,4/26/2017
UC6_aLZwre0yxXvhwNw,4/27/2017
UC6_aLZwre0yxXvhwNw,4/28/2017
UC6_aLZwre0yxXvhwNw,4/29/2017
UC6_aLZwre0yxXvhwNw,4/30/2017
UC6_aLZwre0yxXvhwNw,5/1/2017
UC6_aLZwre0yxXvhwNw,5/2/2017
UC6_aLZwre0yxXvhwNw,5/3/2017
UC6_aLZwre0yxXvhwNw,5/4/2017
UC6_aLZwre0yxXvhwNw,5/5/2017
UC6_aLZwre0yxXvhwNw,5/6/2017
UC6_aLZwre0yxXvhwNw,5/7/2017
UC6_aLZwre0yxXvhwNw,5/8/2017
UC6_aLZwre0yxXvhwNw,5/9/2017
UC6_aLZwre0yxXvhwNw,5/10/2017
UC6_aLZwre0yxXvhwNw,5/11/2017
UC6_aLZwre0yxXvhwNw,5/12/2017
UC6_aLZwre0yxXvhwNw,5/13/2017
UC6_aLZwre0yxXvhwNw,5/14/2017
UC6_aLZwre0yxXvhwNw,5/15/2017
UC6_aLZwre0yxXvhwNw,5/16/2017
UC6_aLZwre0yxXvhwNw,5/17/2017
UC6_aLZwre0yxXvhwNw,5/18/2017
UC6_aLZwre0yxXvhwNw,5/19/2017
UC6_aLZwre0yxXvhwNw,5/20/2017
UC6_aLZwre0yxXvhwNw,5/21/2017
UC6_aLZwre0yxXvhwNw,5/22/2017
UC6_aLZwre0yxXvhwNw,5/23/2017
UC6_aLZwre0yxXvhwNw,5/24/2017
UC6_aLZwre0yxXvhwNw,5/25/2017
UC6_aLZwre0yxXvhwNw,5/26/2017
UC6_aLZwre0yxXvhwNw,5/27/2017
UC6_aLZwre0yxXvhwNw,5/28/2017
UC6_aLZwre0yxXvhwNw,5/29/2017
UC6_aLZwre0yxXvhwNw,5/30/2017
UC6_aLZwre0yxXvhwNw,5/31/2017
UC6_aLZwre0yxXvhwNw,6/1/2017
UC6_aLZwre0yxXvhwNw,6/2/2017
UC6_aLZwre0yxXvhwNw,6/3/2017
UC6_aLZwre0yxXvhwNw,6/4/2017
UC6_aLZwre0yxXvhwNw,6/5/2017
UC6_aLZwre0yxXvhwNw,6/6/2017
UC6_aLZwre0yxXvhwNw,6/7/2017
UC6_aLZwre0yxXvhwNw,6/8/2017
UC6_aLZwre0yxXvhwNw,6/9/2017
UC6_aLZwre0yxXvhwNw,6/10/2017
UC6_aLZwre0yxXvhwNw,6/11/2017
UC6_aLZwre0yxXvhwNw,6/12/2017
UC6_aLZwre0yxXvhwNw,6/13/2017
UC6_aLZwre0yxXvhwNw,6/14/2017
UC6_aLZwre0yxXvhwNw,6/15/2017
UC6_aLZwre0yxXvhwNw,6/16/2017
UC6_aLZwre0yxXvhwNw,6/17/2017
UC6_aLZwre0yxXvhwNw,6/18/2017
UC6_aLZwre0yxXvhwNw,6/19/2017
UC6_aLZwre0yxXvhwNw,6/20/2017
UC6_aLZwre0yxXvhwNw,6/21/2017
UC6_aLZwre0yxXvhwNw,6/22/2017
UC6_aLZwre0yxXvhwNw,6/23/2017
UC6_aLZwre0yxXvhwNw,6/24/2017
UC6_aLZwre0yxXvhwNw,6/25/2017
UC6_aLZwre0yxXvhwNw,6/26/2017
UC6_aLZwre0yxXvhwNw,6/27/2017
UC6_aLZwre0yxXvhwNw,6/28/2017
UC6_aLZwre0yxXvhwNw,6/29/2017
UC6_aLZwre0yxXvhwNw,6/30/2017
